Molecule name,class,dataset,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3
Row681,0,training,2.5454,45.6128,64.9073014,20.23,144.173,144.0575149,1,1,0,1,1,0,1,11,19,2,2,0,0,0,0,0,2,0,0,0
Row682,0,training,5.11938,91.8426,132.9965017,40.46,298.426,298.1932801,2,2,3,2,2,0,2,22,48,2,2,0,0,0,0,0,2,0,0,0.4
Row683,1,training,4.7211,97.9298,142.6792675,50.94,323.44,323.1997624,4,1,1,1,4,0,4,24,49,3,3,0,0,1,0,0,2,0,0,0.4
Row684,0,training,2.4395,47.3498,69.81213266,20.23,156.269,156.1514153,1,1,1,1,1,0,1,11,31,1,0,1,1,0,0,0,0,1,1,1
Row685,1,training,-1.0256,21.9476,36.42177027,40.46,86.09,86.03677943,2,2,0,2,2,0,2,6,12,0,0,0,0,0,0,0,0,0,0,0.5
Row686,0,training,3.4642,108.3716,171.6431361,93.29,406.417,406.1441187,7,2,7,2,7,0,8,30,49,4,4,0,0,2,0,0,2,0,0,0.136363636
Row687,0,training,-0.9367,14.7216,28.85418275,57.53,76.051,76.01604399,3,2,1,2,2,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0.5
Row688,0,training,1.6602,44.2215,64.48140394,36.02,147.177,147.0684139,2,2,1,2,1,0,2,11,20,2,2,0,0,1,0,0,1,0,0,0.111111111
Row689,0,training,-0.6225,16.8258,30.37108308,32.76,74.079,74.03677943,2,1,1,1,2,0,2,5,11,1,0,1,1,0,1,1,0,0,0,1
Row690,0,training,0.5314,32.6396,50.1524291,40.46,118.176,118.0993797,2,2,5,2,2,0,2,8,22,0,0,0,0,0,0,0,0,0,0,1
Row691,0,training,0.3701,61.2527,97.79602222,104.86,242.231,242.0902715,7,3,7,3,6,0,7,17,31,1,1,0,0,0,0,0,1,0,0,0.4
Row692,1,training,-1.029,14.1716,24.69266065,40.46,62.068,62.03677943,2,2,1,2,2,0,2,4,10,0,0,0,0,0,0,0,0,0,0,1
Row693,0,training,1.0577,39.0228,60.06906633,29.46,138.166,138.0680796,2,1,3,1,2,0,2,10,20,1,1,0,0,0,0,0,1,0,0,0.25
Row694,0,training,-1.0124,24.9906,42.5360901,49.69,106.121,106.0629942,3,2,4,2,3,0,3,7,17,0,0,0,0,0,0,0,0,0,0,1
Row695,0,training,-0.9958,35.8096,60.37951956,58.92,150.174,150.0892089,4,2,7,2,4,0,4,10,24,0,0,0,0,0,0,0,0,0,0,1
Row696,0,training,-0.2958,31.4966,47.5456549,40.46,122.189,122.0401506,2,2,4,2,3,0,3,7,17,0,0,0,0,0,0,0,0,0,0,1
Row697,0,training,-0.7616,25.4255,41.65009237,49.33,101.105,101.0476785,3,2,2,2,2,1,3,7,14,0,0,0,0,0,0,0,0,0,0,0.25
Row698,0,training,0.7728,36.723,57.46611386,65.18,138.126,138.0429274,4,2,0,2,4,0,4,10,16,1,0,0,1,0,0,0,0,0,1,0
Row699,0,training,1.7807,32.3065,49.20172518,32.59,113.16,113.084064,2,1,0,1,2,0,2,8,19,1,0,1,1,0,0,0,0,1,1,0.833333333
Row700,0,training,-1.306,52.5723,90.38319269,175.83,299.049,298.9724909,10,6,6,6,4,0,13,16,28,0,0,0,0,0,0,0,0,0,0,1
Row701,1,training,5.3315,88.8165,134.4358379,44.76,326.288,326.0707956,4,0,6,0,4,0,5,23,38,3,3,0,0,0,0,0,3,0,0,0
Row702,0,training,1.55014,45.7306,71.78992336,54.37,186.232,186.0350652,3,1,1,1,2,0,4,12,22,1,1,0,0,0,0,0,1,0,0,0.25
Row703,0,training,4.2721,94.385,151.9315432,139.78,394.792,394.0026348,8,4,3,4,7,0,10,26,37,3,3,0,0,0,0,0,3,0,0,0
Row704,0,training,2.2894,45.172,65.41539008,12.36,149.218,149.0299202,1,0,2,0,2,0,2,10,17,1,1,0,0,0,0,0,1,0,0,0.125
Row705,0,training,2.22549,43.4834,62.9006563,31.58,150.206,150.0251692,2,2,0,2,1,0,3,10,16,2,2,0,0,1,0,0,1,0,0,0
Row706,0,training,-0.5359,28.6034,41.92180872,24.06,102.162,102.0251692,2,2,0,2,1,0,3,6,12,1,0,1,1,0,1,1,0,0,0,0.666666667
Row707,0,training,2.585,46.872,68.12814557,12.89,167.258,166.9863412,1,0,0,1,3,0,3,10,15,2,2,0,0,1,0,0,1,0,0,0
Row708,1,training,6.853,78.77,127.1053926,13.14,340.42,337.8626531,1,0,0,0,1,0,6,18,21,3,3,0,0,1,0,0,2,0,0,0
Row709,1,training,-0.16,113.9412,189.3172063,191.98,503.515,503.0780693,14,3,9,3,11,2,16,33,54,2,2,0,0,1,0,0,1,0,0,0.294117647
Row710,0,training,1.7656,30.206,44.7254837,17.07,100.161,100.088815,1,0,3,0,1,0,1,7,19,0,0,0,0,0,0,0,0,0,0,0.833333333
Row711,0,training,7.2914,91.458,146.9397806,9.23,564.691,559.6257253,1,0,2,0,1,0,6,18,23,2,2,0,0,0,0,0,2,0,0,0
Row712,0,training,0.8057,38.2427,62.81789923,50.68,161.592,161.0355896,4,1,1,1,3,0,5,10,18,1,1,0,0,1,0,0,0,0,0,0.6
Row713,0,training,6.1133,103.304,163.0726872,35.53,391.294,390.0789499,3,0,6,0,3,0,5,26,46,3,2,1,1,0,0,0,2,1,1,0.285714286
Row714,0,training,1.0076,55.2239,86.63684635,84.63,212.205,212.0797069,6,2,5,2,5,0,6,15,27,1,1,0,0,0,0,0,1,0,0,0.333333333
Row715,0,training,-1.3896,22.7243,40.76898704,69.56,105.093,105.0425931,4,3,3,3,3,0,4,7,14,0,0,0,0,0,0,0,0,0,0,0.666666667
Row716,0,training,4.8716,76.8034,108.566518,23.06,243.435,243.2562147,2,0,12,0,1,0,2,17,50,0,0,0,0,0,0,0,0,0,0,1
Row717,0,training,4.8381,382.802,671.498556,777.98,1701.206,1700.172974,46,25,21,25,46,0,46,122,174,11,10,1,1,0,1,1,10,0,0,0.078947368
Row718,0,training,0.9355,41.585,63.25793525,22,155.222,155.0404849,2,0,0,0,3,0,3,10,19,2,1,0,1,1,0,0,0,0,1,0.571428571
Row719,0,training,0.3858,46.0566,65.63530249,72.27,152.197,152.094963,3,5,2,3,3,0,3,11,23,1,1,0,0,0,0,0,1,0,0,0.25
Row720,0,training,1.30742,53.4089,81.52330112,75.4,196.206,196.0847922,5,2,4,2,4,0,5,14,26,1,1,0,0,0,0,0,1,0,0,0.333333333
Row721,0,training,5.7597,102.2517,149.8571917,38.33,339.564,339.3137296,3,1,11,1,3,0,3,24,65,1,0,1,1,0,1,1,0,0,0,0.952380952
Row722,0,training,1.5368,41.8972,60.2954118,46.25,137.182,137.084064,2,3,1,2,2,0,2,10,21,1,1,0,0,0,0,0,1,0,0,0.25
Row723,0,training,1.35378,47.1852,88.71138973,65.78,229.161,229.0462965,4,1,2,1,3,1,7,16,22,1,1,0,0,1,0,0,0,0,0,0.222222222
Row724,0,training,2.3418,67.3234,99.89972334,44.65,251.332,251.0074705,3,0,1,0,4,0,5,16,25,3,2,0,1,1,0,1,1,0,0,0.181818182
Row725,0,training,12.6936,214.546,309.7667104,77.32,703.15,702.6274591,6,0,29,0,6,0,6,50,132,1,0,1,1,0,0,0,0,1,1,0.909090909
Row726,0,training,0.2876,52.1852,80.71521897,72.78,193.206,193.0851266,5,3,3,2,5,0,5,14,25,2,2,0,0,2,0,0,0,0,0,0.222222222
Row727,0,test,5.9001,86.24,155.0460296,0,444.227,439.7587993,0,0,0,0,0,0,9,19,24,3,0,2,3,0,0,0,0,2,3,0.8
Row728,0,test,0.0853,88.4496,145.7554002,96.3,349.383,349.1525375,7,2,1,2,7,0,7,25,48,3,0,2,3,0,2,3,0,0,0,0.555555556
Row729,0,test,0.9314,33.6194,50.47209087,0,122.619,122.0731035,1,0,2,0,0,0,2,7,20,0,0,0,0,0,0,0,0,0,0,1
Row730,0,test,7.3442,107.0624,148.3728406,0,326.633,326.378127,1,0,18,0,0,0,1,23,71,0,0,0,0,0,0,0,0,0,0,1
Row731,0,test,10.1054,132.19,174.9473843,0,399.708,399.4114148,0,0,22,0,0,0,1,27,83,0,0,0,0,0,0,0,0,0,0,1
